"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000000003.15"	197	196	212	284	300	150.002	405	456
"ENSG00000000005.6"	0	0	0	0	0	0	0	0
"ENSG00000000419.14"	115	95	121	232.001	202.001	99	368.377	316.001
"ENSG00000000457.14"	18.112	14.093	15.168	20.659	19.581	19.008	54.454	35.898
"ENSG00000000460.17"	54.888	35.907	41.833	56.341	125.419	44.992	126.546	139.101
"ENSG00000000938.13"	1	0	0	0	0	2	1	3
"ENSG00000000971.17"	0	0	1	1	3.791	0	3.382	3.262
"ENSG00000001036.14"	1278.195	1099.183	1016.997	1243.984	2044.988	1223.278	2371.044	2859.647
"ENSG00000001084.13"	37	25	92.999	174	113	59	331	262.001
"ENSG00000001167.15"	25	29	32	52	71	61	133	123
"ENSG00000001460.18"	126	123	164.015	204	182.026	100.999	255	384.028
"ENSG00000001461.17"	171	170	147.986	188	306.98	172	493	499.971
"ENSG00000001497.18"	1357	1082.987	1013	1220.586	3195.001	1753.999	2770.308	3418.616
"ENSG00000001561.7"	0	0	0	0	0	0	0	0
"ENSG00000001617.12"	838	683.001	494.508	473.999	1386.668	797.841	641	846.999
"ENSG00000001626.18"	0	0	0	0	3	0	0	0
"ENSG00000001629.10"	26	27	82	144	89	46	272	198
"ENSG00000001630.18"	306.001	327.573	338.824	824.999	326.41	189.468	740.808	586.93
"ENSG00000001631.17"	21	25.125	15.088	105.503	50.772	29.528	183.525	124.808
"ENSG00000002016.18"	65	58.396	87.999	127.001	93	65.001	175.151	209
"ENSG00000002079.14"	0	1	0	0	1	0	0	0
"ENSG00000002330.14"	2527.587	2146.047	2095.282	2113.896	5196.943	2728.178	4611.206	6040.697
"ENSG00000002549.13"	87.018	107	152	265	276.999	128	534.999	457.948
"ENSG00000002586.20"	5678.493	4975	4990.692	5356.083	12091.45	6322.379	10465.919	14136.772
"ENSG00000002587.10"	0	0	0	0	0	0	0	0
"ENSG00000002726.21"	11	4	2	0	20	6	9	12
"ENSG00000002745.13"	1	0	0	0	0	0	0	1
"ENSG00000002746.15"	129	90.999	123.999	126	309	181	352	391
"ENSG00000002822.16"	1631.074	1323.772	1566.827	1483.043	3065.649	1539.682	2796.224	3741.437
"ENSG00000002834.18"	15294.647	12319.998	11362.375	11983.875	15628.276	7918.196	12877.303	17392.364
"ENSG00000002919.15"	882	775.001	661.999	689	1414.001	787	957.001	1371
"ENSG00000002933.9"	0	0	0	0	0	0	0	0
"ENSG00000003056.8"	1363.836	1152.169	1229.084	1509.804	1761.708	984.925	2319.159	2791.507
"ENSG00000003096.15"	34	46	54	152.017	259	131	300.001	224
"ENSG00000003137.9"	1022.073	759	1473	1315.006	511	314	691	884.554
"ENSG00000003147.19"	14	16	15	17	50.001	27	76	91
"ENSG00000003249.15"	933	711.001	591	554.355	2863.362	1407.999	2097.002	2902.134
"ENSG00000003393.16"	24	21	27.999	60.001	45	21	112.001	98.999
"ENSG00000003400.16"	20	7	4	13	17	10	15	12
"ENSG00000003402.21"	235.327	198.83	228.324	266.38	223.044	115.695	403.58	397.567
"ENSG00000003436.16"	25	25.999	49	93.037	74	34	147	143
"ENSG00000003509.16"	43	50	48.999	90.001	75.999	62.001	142.903	138.624
"ENSG00000003756.17"	310.793	256.81	316.991	454.382	568.24	290.789	906.676	1006.689
"ENSG00000003987.14"	1	0	0	2.028	1.026	2	3.124	2.096
"ENSG00000003989.18"	92	122	275	513	304	148	588	502
"ENSG00000004059.11"	7897.795	6488.135	5604.594	5532.981	14626.495	7326.905	9905.556	12605.737
"ENSG00000004139.14"	120.145	99.491	80.806	102.46	93.518	49.007	109.497	107.931
"ENSG00000004142.12"	7252.223	5829.25	4762.86	5022.348	8479.388	4264.214	6254.057	8173.946
"ENSG00000004399.13"	6133.016	5828.638	6276.141	7088.325	5614.365	2777.223	4708.272	6652.814
"ENSG00000004455.18"	2712.118	2245.845	2064.998	2394	4801.522	2523.748	4430.918	5472.85
"ENSG00000004468.13"	0	0	0	0	0	0	0	0
"ENSG00000004478.8"	3988.287	3305.872	4331.838	4680.988	8906.423	4833.132	7220.353	9969.734
"ENSG00000004487.18"	486.051	409	519	732.999	1588.004	957.034	1760.002	1893.369
"ENSG00000004534.15"	93	78.999	141	236.999	187.001	97	355	321
"ENSG00000004660.15"	1039	885	648.874	626.22	1731.999	793	1197	1490.77
"ENSG00000004700.16"	10	15	19.054	48.387	35.981	14.379	103.204	50.591
"ENSG00000004766.17"	9	13	23	47	25	14	64	49
"ENSG00000004776.13"	33	39	23.004	35	32	18	40	42.628
"ENSG00000004777.19"	504.765	377.808	224.895	245.979	809.587	358.801	361.74	488.087
"ENSG00000004779.10"	1200.028	1080	1027.032	1158.532	1556.943	932.013	1465.581	1712.999
"ENSG00000004799.8"	121	195	213	616	230	124	936.081	653
"ENSG00000004809.14"	0	0	0	0	0	0	0	0
"ENSG00000004838.14"	86	78	16	22	120.012	61	52	107.037
"ENSG00000004846.17"	0	0	0	0	0	0	2	0
"ENSG00000004848.8"	11	8	7	9	41	17	40	53
"ENSG00000004864.14"	222.149	164	215	323	332	176.001	468	413
"ENSG00000004866.22"	359.835	282.784	365.774	412.133	461.569	256.484	640.357	786.307
"ENSG00000004897.12"	30	34	82	171	145.001	65	273.999	252.001
"ENSG00000004939.16"	1	0	0	0	2	2	2	1
"ENSG00000004948.16"	0	0	0	0	0	0	0	0
"ENSG00000004961.15"	445.009	398	511.999	594	1355.05	734.001	1726	2218.124
"ENSG00000004975.12"	6625.93	5631.07	7088.659	7178.07	7532.842	3730.023	6502.037	8898.209
"ENSG00000005001.10"	0	0	0	0	0	0	0	0
"ENSG00000005007.14"	5894.897	5225.776	5348.001	5579.022	13063.207	6815.999	8486.514	11440.798
"ENSG00000005020.13"	35	34	58	106	92	55	183	145
"ENSG00000005022.6"	10819.486	9154.31	12007.813	13962.505	12714.472	6873.735	15814.184	19387.265
"ENSG00000005059.16"	181	150	113.001	127.947	332	172	364	418
"ENSG00000005073.6"	367.752	327.556	328.255	334.12	1103.641	648.565	979.576	1279.476
"ENSG00000005075.16"	3112.888	2536.538	2555.97	2822.618	5482.303	2854.644	4718.905	5917.341
"ENSG00000005100.13"	130	125	261	434.057	338.02	220	874	835
"ENSG00000005102.14"	12	10	1	2	11	8	5	2
"ENSG00000005108.17"	0	0	0	0	1	0	4	3
"ENSG00000005156.12"	540.553	447.578	454.891	525.941	1229.146	713.87	1037.396	1342.182
"ENSG00000005175.10"	12	19	30	61	50	22.001	93	69
"ENSG00000005187.12"	6	3	3	3	10	5	8.238	8.977
"ENSG00000005189.20"	49	34.001	28	31	151	115	187.001	158
"ENSG00000005194.15"	2627	2089.952	1779.9	1794.994	2982.7	1602	2208.001	2952.264
"ENSG00000005206.17"	2191.001	1653.995	1293.999	1347	4561.375	2145.004	3449.454	4538.001
